X,Y,Z
-138.65741777837985,24.449043829693963,-56.88545101081563
-139.614004912783,24.61771595088783,-54.41955052582826
-140.5280642688185,24.7788892773259,-51.93707331857669
-141.39931741515178,24.932514714051596,-49.43877557566656
-104.31632620333716,18.39378283803378,-34.41730522373427
-105.94615957424352,18.681166435383595,-32.89067482002238
-100.29351933416497,17.684453448819372,-29.20235325384069
-54.93922799621388,10.679104121691656,-96.93856875870254
-64.44810718249683,12.527442997474555,-109.26720884342254
-78.99181138116033,15.354452715618303,-128.77936287459028
-13.62277173164157,2.6479985805090624,-21.369853293918062
-11.451423331707439,2.2259312072841753,-17.29519470505854
-11.687392988930238,2.2717990622022644,-17.00373347703078
-12.71752793618995,2.472037011704175,-17.831795838192743
-15.589064236695975,3.0302071254967164,-21.074586480538596
-20.27354410075774,3.94077776962246,-26.43463176674111
-24.440950461679407,4.750839506360909,-30.74696864255198
-24.963977568757795,4.852505677122212,-30.307748659238875
-26.519234462981814,5.154816993010045,-31.077877654890123
-34.21276423572962,6.650287688597007,-38.70830470856433
-101.66130853587848,19.760956580549045,-111.05887054915041
-104.58913787182522,20.330068951972855,-110.3323385759423
-105.40406672448584,20.488475074278277,-107.37688248840708
-107.22756778720593,20.842927774562764,-105.48654347395637
-109.01840629404124,21.19103151713714,-103.56407223649242
-110.77603673823438,21.53268026622927,-101.61005437937753
-112.49992372852549,21.867769952320547,-99.62508511537997
-115.3371661301323,22.419274007443523,-98.59076357372139
-117.0086326832118,22.744174192744474,-96.52516157922406
-118.64445727328793,23.06214628225855,-94.43015708544947
-120.24414161234395,23.373093418607027,-92.30638825106116
-120.59519654619633,23.441331585173575,-89.2574497134922
-61.8609573535756,12.024552013943252,-44.12623182225923
-63.87225079697335,12.415507855237571,-43.88873686356198
-87.22033569948387,16.953915816361267,-57.7016908655124
-86.44919339106181,16.804020936061015,-55.03051704174509
-87.37879618236066,16.98471741400897,-53.485150420974925
-97.07984392289944,18.870410072774664,-57.098127442760585
