D,U,V
384,-67,-55
370,-67,-54
304,-67,-53
206,-67,-52
162,-67,-51
114,-67,-50
90,-67,-49
51,-67,-48
32,-67,-47
118,-67,-46
162,-67,-45
182,-67,-44
237,-67,-43
248,-67,-42
248,-67,-41
245,-67,-40
244,-67,-39
248,-67,-38
244,-67,-37
249,-67,-36
250,-67,-35
248,-67,-34
245,-67,-33
256,-67,-32
96,-67,-31
0,-67,-30
2,-67,-29
2,-67,-28
2,-67,-27
2,-67,-26
0,-67,-25
2,-67,-24
2,-67,-23
2,-67,-22
0,-67,-21
0,-67,-20
2,-67,-19
2,-67,-18
2,-67,-17
2,-67,-16
2,-66,-60
3,-66,-59
5,-66,-58
352,-66,-57
388,-66,-56
386,-66,-55
384,-66,-54
326,-66,-53
230,-66,-52
190,-66,-51
158,-66,-50
103,-66,-49
50,-66,-48
2,-66,-47
2,-66,-46
2,-66,-45
130,-66,-44
244,-66,-43
248,-66,-42
252,-66,-41
183,-66,-40
178,-66,-39
193,-66,-38
201,-66,-37
236,-66,-36
248,-66,-35
244,-66,-34
240,-66,-33
229,-66,-32
154,-66,-31
2,-66,-30
2,-66,-29
2,-66,-28
2,-66,-27
2,-66,-26
2,-66,-25
2,-66,-24
2,-66,-23
0,-66,-22
0,-66,-21
0,-66,-20
2,-66,-19
2,-66,-18
2,-66,-17
0,-66,-16
2,-65,-60
2,-65,-59
72,-65,-58
355,-65,-57
388,-65,-56
388,-65,-55
362,-65,-54
305,-65,-53
248,-65,-52
214,-65,-51
163,-65,-50
135,-65,-49
99,-65,-48
11,-65,-47
4,-65,-46
14,-65,-45
138,-65,-44
233,-65,-43
244,-65,-42
255,-65,-41
162,-65,-40
117,-65,-39
130,-65,-38
154,-65,-37
240,-65,-36
248,-65,-35
240,-65,-34
230,-65,-33
217,-65,-32
158,-65,-31
2,-65,-30
2,-65,-29
2,-65,-28
0,-65,-27
2,-65,-26
2,-65,-25
0,-65,-24
0,-65,-23
0,-65,-22
2,-65,-21
2,-65,-20
2,-65,-19
0,-65,-18
1,-65,-17
2,-65,-16
0,-64,-60
1,-64,-59
107,-64,-58
355,-64,-57
388,-64,-56
381,-64,-55
366,-64,-54
309,-64,-53
259,-64,-52
222,-64,-51
190,-64,-50
167,-64,-49
94,-64,-48
37,-64,-47
54,-64,-46
51,-64,-45
170,-64,-44
256,-64,-43
252,-64,-42
248,-64,-41
198,-64,-40
157,-64,-39
132,-64,-38
170,-64,-37
244,-64,-36
248,-64,-35
248,-64,-34
226,-64,-33
217,-64,-32
174,-64,-31
2,-64,-30
2,-64,-29
2,-64,-28
0,-64,-27
0,-64,-26
0,-64,-25
2,-64,-24
2,-64,-23
2,-64,-22
0,-64,-21
1,-64,-20
2,-64,-19
2,-64,-18
0,-64,-17
0,-64,-16
0,-63,-60
2,-63,-59
111,-63,-58
374,-63,-57
388,-63,-56
384,-63,-55
368,-63,-54
305,-63,-53
262,-63,-52
236,-63,-51
206,-63,-50
178,-63,-49
126,-63,-48
6,-63,-47
30,-63,-46
62,-63,-45
187,-63,-44
244,-63,-43
256,-63,-42
256,-63,-41
242,-63,-40
233,-63,-39
237,-63,-38
240,-63,-37
248,-63,-36
248,-63,-35
248,-63,-34
202,-63,-33
180,-63,-32
213,-63,-31
2,-63,-30
0,-63,-29
2,-63,-28
4,-63,-27
2,-63,-26
2,-63,-25
2,-63,-24
2,-63,-23
2,-63,-22
2,-63,-21
0,-63,-20
0,-63,-19
2,-63,-18
2,-63,-17
2,-63,-16
2,-62,-60
0,-62,-59
132,-62,-58
377,-62,-57
388,-62,-56
384,-62,-55
381,-62,-54
307,-62,-53
271,-62,-52
244,-62,-51
233,-62,-50
217,-62,-49
193,-62,-48
18,-62,-47
54,-62,-46
151,-62,-45
233,-62,-44
255,-62,-43
256,-62,-42
255,-62,-41
259,-62,-40
332,-62,-39
339,-62,-38
295,-62,-37
255,-62,-36
248,-62,-35
244,-62,-34
154,-62,-33
108,-62,-32
151,-62,-31
2,-62,-30
2,-62,-29
2,-62,-28
2,-62,-27
2,-62,-26
2,-62,-25
0,-62,-24
2,-62,-23
0,-62,-22
2,-62,-21
2,-62,-20
2,-62,-19
2,-62,-18
2,-62,-17
0,-62,-16
2,-61,-60
0,-61,-59
264,-61,-58
377,-61,-57
